,artist_name,artist_id
0,Latto,000
0,Jung Kook,001
1,Myke Towers,002
2,Olivia Rodrigo,003
3,Taylor Swift,004
4,Bad Bunny,005
5,Dave,006
5,Central Cee,007
6,Eslabon Armado,008
6,Peso Pluma,009
7,Quevedo,010
8,Gunna,011
9,Yng Lvcas,012
10,Grupo Frontera,013
11,NewJeans,014
12,David Kushner,015
13,SZA,016
14,Fifty Fifty,017
15,Feid,018
15,Young Miko,019
16,Jimin,020
17,Gabito Ballesteros,021
17,Junior H,022
18,Bizarrap,023
19,The Weeknd,024
19,Madonna,025
19,Playboi Carti,026
20,Fuerza Regida,027
21,Rï¿½ï¿½ma,028
21,Selena G,029
22,Tainy,030
23,Morgan Wallen,031
24,Dua Lipa,032
25,Troye Sivan,033
27,21 Savage,034
27,Metro Boomin,035
28,Karol G,036
28,Shakira,037
29,Yahritza Y Su Esencia,038
31,Post Malone,039
31,Swae Lee,040
32,Bebe Rexha,041
32,David Guetta,042
33,Tyler,043
33,The Creator,044
33,Kali Uchis,045
34,Miley Cyrus,046
36,Daft Punk,047
37,Ariana Grande,048
38,Sky Rompiendo,049
39,Anne-Marie,050
39,Coi Leray,051
41,Peggy Gou,052
43,Manuel Turizo,053
44,dennis,054
44,MC Kevin o Chris,055
45,PinkPantheress,056
45,Ice Spice,057
46,Charlie Puth,058
46,BTS,059
47,Rauw Alejandro,060
47,ROSALï¿½,061
48,Ozuna,062
49,Chris Molitor,063
50,Libianca,064
53,JVKE,065
55,Coldplay,066
56,d4vd,067
57,Sam Smith,068
57,Kim Petras,069
58,Yandel,070
59,Maria Becerra,071
60,Vance Joy,072
61,Em Beihold,073
61,Stephen Sanchez,074
62,Mc Livinho,075
62,DJ Matt D,076
63,Justin Bieber,077
63,The Kid Laroi,078
64,Marshmello,079
65,Chencho Corleone,080
66,Jain,081
67,Ayparia,082
67,unxbected,083
68,Luke Combs,084
69,Doechii,085
70,Eladio Carrion,086
72,J. Cole,087
72,Lil Durk,088
73,Lana Del Rey,089
75,Future,090
75,Don Toliver,091
76,Eminem,092
77,Carin Leon,093
78,Elton John,094
78,Pnau,095
79,Ruth B.,096
80,Imagine Dragons,097
81,Adele,098
82,Kendrick Lamar,099
82,Jay Rock,100
83,Anggi Marito,101
84,Jasiel Nuï¿½ï¿½ez,102
84,Peso P,103
85,Tears For Fears,104
87,Loreen,105
88,Taiu,106
88,Milo j,107
89,Sebastian Yatra,108
89,Beï¿½ï,109
90,Calvin Harris,110
90,Ellie Goulding,111
91,Sabrina Carpenter,112
94,Ray Dalton,113
94,Ryan Lewis,114
94,Macklemore,115
95,Billie Eilish,116
95,Khalid,117
96,(G)I-DLE,118
98,Travis Scott,119
98,Young Thug,120
99,Sachin-Jigar,121
99,Shadab Faridi,122
99,Altamash Faridi,123
99,Amitabh Bhattacharya,124
99,Varun Jain,125
100,Ed Sheeran,126
101,Veigh,127
101,Bvga Beatz,128
101,Supernova Ent,129
101,Prod Malax,130
102,Mc Pedrinho,131
102,DJ 900,132
104,Bomba Estï¿½ï¿½reo,133
104,Bad B,134
105,Keane,135
106,New West,136
107,Chino Pacas,137
108,Natanael Cano,138
109,Ana Castela,139
109,AgroPlay,140
110,Bruno Mars,141
111,Big One,142
111,FMK,143
111,Ke personajes,144
112,OneRepublic,145
114,Drake,146
114,WizKid,147
114,Kyla,148
115,Miguel,149
116,The Police,150
117,Lord Huron,151
118,Rihanna,152
119,Alec Benjamin,153
120,A$AP Rocky,154
120,Roisee,155
121,Arctic Monkeys,156
122,YOASOBI,157
123,Radiohead,158
124,James Arthur,159
125,Cigarettes After Sex,160
126,Shubh,161
127,Frank Ocean,162
128,Hozier,163
130,Hotel Ugly,164
131,Plan B,165
132,Mora,166
132,Saiko,167
133,a-ha,168
134,Lil Wayne,169
134,Offset,170
135,Kodak Black,171
135,NLE Choppa,172
135,Muni Long,173
138,Arijit Singh,174
138,Amitabha Bhattacharya,175
139,Stray Kids,176
140,Becky G,177
142,Kaliii,178
143,Eden Muï¿½ï,179
144,Abhijay Sharma,180
144,Riar Saab,181
145,Semicenk,182
145,Doï¿½ï¿½u,183
146,JISOO,184
147,Lil Uzi Vert,185
148,RAYE,186
148,070 Shake,187
149,Arcangel,188
151,Chris Brown,189
152,BLESSD,190
156,ENHYPEN,191
158,James Blake,192
159,Israel & Rodolffo,193
159,Mari Fernandez,194
160,Steve Lacy,195
161,Beyoncï¿,196
162,Halsey,197
162,Suga,198
163,Nicky Jam,199
164,Sean Paul,200
167,Toian,201
167,Beam,202
168,Simone Mendes,203
169,Tini,204
173,MC Caverinha,205
173,KayBlack,206
174,JID,207
175,Zï¿½ï¿½ Neto & Crist,208
176,Migrantes,209
176,LiL CaKe,210
176,Nico Valdi,211
177,Tory Lanez,212
178,Joji,213
179,Mambo Kingz,214
179,DJ Luian,215
179,Anuel Aa,216
180,Nile Rodgers,217
180,LE SSERAFIM,218
181,Agust D,219
182,Rich The Kid,220
182,Matuï¿,221
183,Labrinth,222
184,Romeo Santos,223
185,Lizzy McAlpine,224
186,IVE,225
187,sped up 8282,226
188,Cartel De Santa,227
188,La Kelly,228
189,SEVENTEEN,229
192,Nicki Minaj,230
193,Grupo Marca Registrada,231
195,TAEYANG,232
195,Lisa,233
196,Raim Laode,234
198,Meghan Trainor,235
199,sped up nightcore,236
199,ARIZONATEARS,237
200,TV Girl,238
201,INTERWORLD,239
202,Jhayco,240
203,El Chachito,241
204,Gesaffelstein,242
205,RM,243
205,Colde,244
206,Nengo Flow,245
